,Stock,Stock,Stock,Stock,Stock,Stock,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,Country Port,Country Port,Country Port,Country Port,Country Port,Country Port,US Riskfree
,Barrick,Hanson,IBM,Nokia,Telefonos,YPF,Small-Growth,Small-Neutral,Small-Value,Big-Growth,Big-Neutral,Big-Value,Australia,Hong Kong,Italy,Japan,Norway,US,US Riskfree
May-00,0.00297619,0.007029227,0.020967263,-0.028934678,0.180272109,0.160592255,-0.0777,-0.0546,-0.0364,-0.0339,0.0088,-0.0003,-0.0316,-0.1003,0.0284,-0.0709,0.0389,-0.039,0.005
Apr-00,0.084570691,-0.042847025,-0.036405223,-0.072387149,-0.171830986,0.04028436,-0.1424,-0.0546,-0.0447,-0.0427,-0.0114,0.041,-0.0317,-0.0923,-0.0644,-0.0802,-0.0738,-0.0595,0.0046
Mar-00,0.071230982,0.058867642,-0.058078995,0.010063668,-0.117464264,-0.088060508,-0.1362,-0.0374,-0.0102,0.087,0.1066,0.1198,-0.0113,0.0413,-0.0722,0.0787,0.0108,0.0535,0.0047
Feb-00,-0.037924152,0.109862672,0.152016546,0.122406639,0.01642451,-0.001618123,0.2859,0.1535,0.1144,0.0121,-0.0448,-0.0697,-0.0254,0.0306,0.1704,-0.0227,0.0067,0.0317,0.0043
Jan-00,-0.003976143,-0.11459101,-0.083672889,0.07296562,0.234789392,0.018681319,0.0065,-0.0025,0.0024,-0.0478,-0.038,-0.0394,-0.0414,-0.0753,-0.0515,-0.0553,-0.0759,-0.0398,0.0041
Dec-99,-0.074233129,-0.106943073,0.040627157,-0.031616766,-0.053175775,-0.049111808,0.1797,0.0843,0.0575,0.0782,0.0197,0.0186,0.0559,0.097,0.2044,0.0508,0.1134,0.0839,0.0044
Nov-99,-0.01748041,-0.025961538,0.046650841,0.364825106,0.21981982,-0.040601504,0.1278,0.0611,0.0332,0.0414,-0.025,-0.0197,0.0657,0.1143,0.0371,0.0763,0.0405,0.0369,0.0036
Oct-99,-0.006586826,0.071428571,0.050411969,0.211485149,0.082926829,-0.0025,0.0113,-0.0058,-0.0302,0.0701,0.057,0.0484,-0.0218,0.0362,-0.028,0.0689,-0.0462,0.062,0.0039
Sep-99,-0.157841654,-0.00171409,-0.188028169,0.285641548,0.198830409,-0.002991027,0.0082,-0.008,-0.0255,-0.0196,-0.0566,-0.0478,0.0095,-0.0462,0.0174,0.0677,0.0116,-0.0228,0.0039
Aug-99,0.122241087,-0.086439085,-0.02864472,0.074986316,-0.036076663,-0.007912957,-0.0288,-0.0306,-0.0284,-0.0026,-0.0262,-0.0216,-0.0504,0.0049,0.0186,0.0238,0.0288,-0.01,0.0039
Jul-99,0.043709392,-0.04572624,-0.007973535,-0.017213556,-0.014444444,-0.026948989,-0.0124,-0.0086,-0.0052,-0.0313,-0.0352,-0.0272,-0.0036,-0.0278,-0.024,0.1035,0.0407,-0.0306,0.0038
Jun-99,-0.041878891,0.013939394,-0.027550936,-0.070964518,-0.065420561,0.067282999,0.0647,0.06,0.0597,0.068,0.0266,-0.0086,0.0542,0.1027,-0.0211,0.0962,-0.0141,0.051,0.004
May-99,0.123331214,-0.020480855,0.114246324,0.285163776,0.015822785,-0.098193608,0.0134,0.0157,0.0445,-0.0256,-0.009,-0.0023,-0.0762,-0.0763,-0.0415,-0.0441,-0.0256,-0.0207,0.0034
Apr-99,-0.132377275,-0.069337017,0.110317379,-0.039481801,0.055679287,0.013139371,0.1003,0.0977,0.0866,0.0178,0.088,0.0819,0.0982,0.2188,-0.0234,0.0493,0.0746,0.049,0.0037
Mar-99,0.178803641,0.124572849,0.18017584,-0.047591069,0.146871009,0.324425109,0.0003,0.002,-0.0274,0.042,0.0369,0.0106,0.0532,0.1274,0.0364,0.1464,0.1039,0.0379,0.0043
Feb-99,-0.035131744,0.083109017,0.044139839,0.155465037,0.161721068,0.088633288,-0.0931,-0.0693,-0.0812,-0.0448,-0.0066,-0.0215,-0.0288,0.0058,-0.0155,-0.0282,-0.0916,-0.0381,0.0035
Jan-99,-0.07217695,0.240400668,-0.07243672,-0.058785942,0.11774461,-0.083126551,0.0463,0.0126,0.0045,0.0566,-0.0034,-0.0107,0.0717,-0.0825,-0.0436,0.0073,0.1165,0.0383,0.0035
Dec-98,-0.022196927,-0.160182264,-0.006144215,0.19648318,0.050522648,0.140835103,0.0677,0.033,0.0277,0.0881,0.0183,0.0274,-0.0001,-0.0202,0.0753,0.0355,-0.0587,0.0631,0.0038
Nov-98,-0.024972253,0.050441826,0.116634304,0.229323308,0.055147059,-0.061129568,0.0907,0.0548,0.054,0.07,0.0574,0.0389,0.0667,0.0007,0.1098,0.0423,-0.0786,0.062,0.0031
Oct-98,-0.056544503,0.051490515,0.113593773,0.053465347,-0.116883117,0.035788025,0.0485,0.0358,0.0284,0.0823,0.0779,0.0485,0.0854,0.3218,0.0627,0.1674,0.1517,0.0744,0.0032
Sep-98,0.068830442,0.138888889,0.155588872,0.188235294,0.19844358,0.112557427,0.0869,0.0557,0.028,0.0778,0.0395,0.0562,0.0856,0.1711,-0.0508,-0.0205,-0.0199,0.0638,0.0046
Aug-98,0.539190353,0.277027027,0.141037826,0.172413793,0.244552058,0.175517552,-0.2412,-0.1873,-0.1713,-0.1432,-0.1771,-0.1119,-0.1318,-0.0741,-0.1397,-0.1072,-0.2823,-0.1577,0.0043
